INFO 2026-03-12 11:28:05,682 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2026-03-12 11:28:05,683 basehttp "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
INFO 2026-03-12 11:28:05,687 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 11:28:11,511 basehttp "GET /admin/auth/user/1/change/ HTTP/1.1" 200 30377
INFO 2026-03-12 11:28:11,530 basehttp "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2026-03-12 11:28:11,531 basehttp "GET /static/admin/js/calendar.js HTTP/1.1" 200 8466
INFO 2026-03-12 11:28:11,531 basehttp "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2026-03-12 11:28:11,532 basehttp "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15292
INFO 2026-03-12 11:28:11,533 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 11:28:16,381 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 117852
INFO 2026-03-12 11:28:24,008 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 19595
INFO 2026-03-12 11:28:37,577 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 19595
INFO 2026-03-12 11:28:37,632 basehttp "GET /static/vendor/select2/css/select2.min.css HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,640 basehttp "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,641 basehttp "GET /static/jazzmin/css/main.css HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,641 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,642 basehttp "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,643 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,645 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,647 basehttp "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,648 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,648 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,648 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,651 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,653 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,654 basehttp "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,654 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 11:28:37,656 basehttp "GET /static/admin/img/icon-no.svg HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,657 basehttp "GET /static/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,665 basehttp "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,665 basehttp "GET /static/jazzmin/js/main.js HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,665 basehttp "GET /static/vendor/select2/js/select2.min.js HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,666 basehttp "GET /static/jazzmin/js/change_list.js HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,722 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2026-03-12 11:28:37,722 basehttp "GET /static/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2026-03-12 11:29:02,177 basehttp "GET /admin/auth/user/?o=4.1 HTTP/1.1" 200 20203
INFO 2026-03-12 11:29:02,291 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 11:29:04,229 basehttp "GET /admin/auth/ HTTP/1.1" 200 12665
INFO 2026-03-12 11:29:08,994 basehttp "GET /admin/ HTTP/1.1" 200 14306
INFO 2026-03-12 11:29:11,091 basehttp "GET /admin/auth/group/ HTTP/1.1" 200 12892
INFO 2026-03-12 11:29:11,134 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 11:29:12,060 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 19595
INFO 2026-03-12 11:29:12,080 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 11:29:13,910 basehttp "GET /admin/auth/user/1/change/ HTTP/1.1" 200 30377
INFO 2026-03-12 11:29:13,958 basehttp "GET /static/admin/js/SelectBox.js HTTP/1.1" 304 0
INFO 2026-03-12 11:29:13,958 basehttp "GET /static/admin/js/calendar.js HTTP/1.1" 200 8466
INFO 2026-03-12 11:29:13,958 basehttp "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2026-03-12 11:29:13,958 basehttp "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 304 0
INFO 2026-03-12 11:29:13,959 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-03-12 11:29:13,962 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 11:29:13,971 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2026-03-12 11:29:13,971 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2026-03-12 11:29:13,981 basehttp "GET /static/jazzmin/js/change_form.js HTTP/1.1" 304 0
INFO 2026-03-12 11:29:25,652 basehttp "GET /admin/auth/user/1/password/ HTTP/1.1" 200 13634
INFO 2026-03-12 11:29:25,706 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 11:29:39,248 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 19595
INFO 2026-03-12 11:29:39,307 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 11:29:42,825 basehttp "GET /admin/auth/user/?o=3.1 HTTP/1.1" 200 20203
INFO 2026-03-12 11:29:42,845 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 11:29:45,500 basehttp "GET /admin/auth/user/?o=-3.1 HTTP/1.1" 200 20205
INFO 2026-03-12 11:29:45,539 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 11:29:47,029 basehttp "GET /admin/auth/user/?o=3.1 HTTP/1.1" 200 20203
INFO 2026-03-12 11:29:47,066 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 11:29:54,148 basehttp "POST /admin/auth/user/?o=3.1 HTTP/1.1" 302 0
INFO 2026-03-12 11:29:54,191 basehttp "GET /admin/auth/user/?o=3.1 HTTP/1.1" 200 20733
INFO 2026-03-12 11:29:54,249 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 11:30:01,614 basehttp "POST /admin/auth/user/?o=3.1 HTTP/1.1" 302 0
INFO 2026-03-12 11:30:01,661 basehttp "GET /admin/auth/user/?o=3.1 HTTP/1.1" 200 20733
INFO 2026-03-12 11:30:01,711 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-03-12 11:30:02,361 basehttp "POST /admin/auth/user/?o=3.1 HTTP/1.1" 302 0
INFO 2026-03-12 11:30:02,397 basehttp "GET /admin/auth/user/?o=3.1 HTTP/1.1" 200 20733
